tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio
La Europea,Estefanya Reservado,58.98,,,,Tinto,Chile,Valle Central,Merlot,https://www.laeuropea.com.mx/vt-merlot-reservado-estefanya-187-ml-10000010789.html,2025-10-31 20:37:12,False,,,Económico
La Europea,Carmenere Reservado Estefanya,58.98,,,,Tinto,Chile,Valle Central,,https://www.laeuropea.com.mx/vt-carmenere-reservado-estafanya-187-ml-10000010790.html,2025-10-31 20:37:18,False,,,Económico
La Europea,Vinagre Borges De,59.12,,,,Blanco,España,,,https://www.laeuropea.com.mx/vinagre-borges-de-vino-blanco-250ml-10000014248.html,2025-10-31 20:36:08,False,,,Económico
La Europea,Blue Rhin 2017,89.99,,,250 ML,Blanco,Alemania,,,https://www.laeuropea.com.mx/vb-blue-rhin-oppenheimer-250ml-10000011930.html,2025-10-31 20:37:10,False,250.0,0.36,Económico
La Europea,Blue Rhin Semi Seco 2017,89.99,,,250 ML,Tinto,Alemania,RHEINHESSEN,,https://www.laeuropea.com.mx/vt-blue-rhin-semise-2017-250ml-10000011931.html,2025-10-31 20:39:09,False,250.0,0.36,Económico
La Europea,La Cetto,101.25,,,375 ML,Tinto,México,Valle De Guadalupe,Cabernet Sauvignon,https://www.laeuropea.com.mx/vt-cabernet-sauvignon-la-cetto-375ml-10000001966.html,2025-10-31 20:38:31,False,375.0,0.27,Económico
La Europea,Vivaldi Cabernet,103.97,,,750 ML,Tinto,España,Tierra de CastillA y Leon,Cabernet sauvignon,https://www.laeuropea.com.mx/vt-vivaldi-cabernet-sauvignon-750ml-10000016455.html,2025-10-31 20:36:28,False,750.0,0.1386,Económico
La Europea,Puerto Nuevo Blanco,124.72,,,,Blanco,México,Valle de Guadalupe,,https://www.laeuropea.com.mx/vb-puerto-nuevo-blanco-750ml-10000007176.html,2025-10-31 20:39:31,False,,,Económico
La Europea,Canals & Nubiola Negre,125.0,,,,Tinto,España,Cataluña,,https://www.laeuropea.com.mx/vt-nubiola-375ml-10000007368.html,2025-10-31 20:37:01,False,,,Económico
La Europea,Valeriano,132.0,,,,Tinto,España,Rioja,Tempranillo,https://www.laeuropea.com.mx/vt-valeriano-tempranillo-750ml-10000011934.html,2025-10-31 20:36:58,False,,,Económico
La Europea,Reservado Estefanya,148.99,,,,Blanco,Chile,Valle Central,Chardonnay,https://www.laeuropea.com.mx/vb-chard-reservado-estefanya-750ml-10000006254.html,2025-10-31 20:38:45,False,,,Económico
La Europea,Estefanya Reservado Syrah,148.99,,,,Tinto,Chile,Valle Central,VARIETAL,https://www.laeuropea.com.mx/vt-syrah-estefanya-reservado-750ml-10000006522.html,2025-10-31 20:38:46,False,,,Económico
La Europea,Reservado Estefanya,148.99,,,,Tinto,Chile,Valle Central,VARIETAL,https://www.laeuropea.com.mx/vt-merlot-reservado-estefanya-750ml-10000006253.html,2025-10-31 20:39:18,False,,,Económico
La Europea,Carmenere Estefanya Reservado,148.99,,,,Tinto,Chile,Valle Central,VARIETAL,https://www.laeuropea.com.mx/vt-carmenere-estefanya-reservado-750ml-10000006521.html,2025-10-31 20:39:26,False,,,Económico
La Europea,Chandon Délice Mini,149.0,,,187 ML,Espumoso,Argentina,Mendoza,,https://www.laeuropea.com.mx/ve-chandon-delice-187ml-10000015681.html,2025-10-31 20:39:12,False,187.0,0.7968,Económico
La Europea,Montescastrillo Torremilanos,156.0,312.0,50.0,375 ML,Tinto,España,Ribera del Duero,Tempranillo.,https://www.laeuropea.com.mx/vt-montecastrillo-375ml-10000002235.html,2025-10-31 20:38:49,True,375.0,0.416,Medio-Bajo
La Europea,XA Domecq,157.0,,,750 ML,Tinto,México,Valle De Guadalupe,Cabernet Sauvignon,https://www.laeuropea.com.mx/vt-cabernet-sauvignon-xa-domecq-750ml-10000002014.html,2025-10-31 20:36:08,False,750.0,0.2093,Medio-Bajo
La Europea,Vasco Viejo,158.0,,,700 ML,Tinto,Argentina,Mendoza,"Tempranillo, Merlot y Malbec.",https://www.laeuropea.com.mx/vt-vasco-viejo-700ml-10000005527.html,2025-10-31 20:37:01,False,700.0,0.2257,Medio-Bajo
